name,description,category,subcategory
조이빌리지 농장의 기원,"원래는 스타듀밸리 같은 힐링 농장 게임으로 기획되었으나, 개발자의 넘치는 RPG 사랑 덕분에 방대한 세계관과 다크 판타지 스토리가 융합된 지금의 모습이 되었다.",설정 비화,개발 비화
전작과의 연결고리 (Shards Universe),"이 게임은 개발자의 전작인 'Shards of the Mirror'의 공식 후속작이다. 전작의 12가지 결말 중 다이어리, 게임, 거울, 나침판, 소설 엔딩이 복합적으로 얽혀 탄생한 세계선이 바로 이 도서관(Shards of the Library)이다.",설정 비화,개발 비화
크로노스와의 조우 (시즌 3),"게임의 후반부인 시즌 3에서는 최초의 작가인 크로노스와 마주하게 된다. 차원이 달라 서로 직접 소통할 순 없지만, 플레이어가 현실의 다이어리를 제자리에 두어 크로노스가 발견하게 만드는 등 시공간을 초월한 간섭과 상호작용이 이루어진다.",설정 비화,메인 스토리
마을 광장 우물의 비밀,"일반적인 낚시터가 아닌 조이빌리지 마을 광장 한가운데에 있는 '우물'에서도 낚시를 던질 수 있는 숨겨진 기믹이 존재한다. 깊고 어두운 우물 속에서는 과연 무엇이 낚여 올라올까?",이스터에그,은밀한 장소
근육질 간호사 알렉스 (Alex),"초기 기획에서는 무지막지하게 강력한 근육질의 남성 간호사(힐러)로 디자인되었다. 이후 RPG 장르의 색채가 짙어지며 평범한 마을 주민 NPC로 노선이 변경되었다. 알파벳 'A'로 시작하는 이름 덕분에 개발 과정에서 늘 디폴트(기본) 및 테스팅 캐릭터로 혹사당하는 비운의 인물이다.",설정 비화,개발 비화
조이(Joey)와 개발자의 코드,"세계관의 핵심 인물인 조이(Joey)는 사실 개발자 본인의 이름이자 분신(Avatar)이다. 그가 보이드 공간의 힘을 자유자재로 다루고 세계를 넘어 관측자/기록자가 되려 했던 진짜 이유는, 그가 이 세계의 '개발 코드(Source Code)'를 직접 알고 있는 창조자의 화신체이기 때문이다.",설정 비화,메인 스토리
이름의 어원과 오마주,"등장인물들의 이름에는 깊은 의미와 명작 RPG들에 대한 헌사가 담겨있다. 크로노스는 '시간' 그 자체를, 쌍둥이 사서 션(Sean)과 댄(Dan)은 각각 영어 'Sun(태양/빛)'과 한국어 '단(어둠)'에서 따와 음과 양을 상징한다. 또한 퍼거스, 레이모어, 이비는 '마비노기' 시리즈에서, 카산드라는 '메이플스토리'에서 영감을 받아 오마주한 정겨운 이름들이다.",설정 비화,개발 비화
퍼거스의 손이 미끄러지지 않은 이유,"대장장이 '퍼거스'의 이름은 원작 게임에서 영감을 받았지만, 무기를 수리하다가 '어이쿠 손이 미끄러졌네!' 하며 부숴버리는 그 악명 높은 기믹은 아쉽게도 저작권 우려(?)와 유저들의 멘탈 붕괴를 막기 위해 추가하지 않았다.",설정 비화,개발 비화
폐기된 4개의 환상 세계,"현재 게임에는 10개의 세계(World)가 존재하지만, 원래 개발 초기에는 '바닷가 마을', '화산 마을', '정령의 숲', '사막'이라는 4개의 지역을 더 추가하고 싶었다. 아쉽게도 최종 개발 과정에서 제외되어 설정으로만 남은 환상의 맵들이다.",설정 비화,미발매 지역
파이어볼트 조기 획득 비기,"인벤토리가 꽉 찬 상태에서 메인 1(M1) 스토리를 진행하다 보면, 시스템의 기믹을 통해 원래 예정된 시기보다 훨씬 빠르게 '파이어볼트' 스킬을 획득할 수 있는 숨겨진 꼼수가 존재한다. 스피드런이나 타임어택을 노리는 고인물 유저들에게 주어지는 특별한 보상과도 같다.",이스터에그,은밀한 시스템
3D 멀미가 낳은 기적의 2D 모드,"개발자 본인이 3D 게임 멀미가 심한 탓에, 살기 위해서(?) 개발 단계에서 2D와 3D를 넘나들 수 있는 시스템을 구축했었다. 놀랍게도 그 흔적이 유물처럼 아직 게임 내에 남아있어, 기본 마을 타운에서 주인공의 '휴대폰'을 조작하면 2D 게임 모드로 진입할 수 있는 숨겨진 기능이 존재한다.",설정 비화,개발 비화
개발자의 절규 : 똥손과 아트워크,"1인 개발자의 가장 큰 장벽인 아트워크! 본인이 그림에 소질이 없다는 사실을 뼈저리게 깨닫고, AI로 기본 이미지를 생성한 뒤 그 위에 직접 선을 따고 채색하는 피나는 노력으로 현재의 일러스트들을 완성해냈다. 아이템 이미지 역시 철저한 AI 생성과 수작업 검수를 거쳐 탄생한 피와 땀의 결정체다.",설정 비화,개발 비화
3D 모델링 포기 선언,"야심 차게 3D 모델링에 직접 도전했으나, 결과물을 본 순간 '세상에 이건 도저히 쓸 수 없다'며 자신의 끔찍한 재능 부족을 깔끔하게 인정했다. 언젠가 다시 모델링에 도전하겠다는 낭만만 남긴 채, 현재는 AI가 생성한 스태틱 모델(Static Model)들을 활용하여 타협의 미학을 실천 중이다.",설정 비화,개발 비화
글로벌 기획의 참사 : 번역 지옥,"처음 시나리오를 구상할 때 멋지게 영문으로 대사들을 기획했으나, 정작 이를 한국어로 번역하는 과정에서 지옥을 맛보고 있다. 각 캐릭터의 MBTI는 물론이고 존댓말, 반존대, 반말의 미묘한 뉘앙스를 모두 살려내야 하는 한국어의 복잡성에 매일매일 머리를 쥐어뜯으며 스크립트와 사투를 벌이는 중이다.",설정 비화,개발 비화
