---,QuestID,QuestType,QuestName,BeforeDetail,ProgressDetail,CompleteDetail,FindKeywardTarget,TargetName,TargetCount,ItemReward,Gold,XPReward,Prereques,Compoleted?,NextQuestRecomend,Repeating,RepeatingNums,StartEvent,FinishEvent,NavigationTarget
T_Collect,"T_Collect","Collect","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Collect_QuestName"", ""Collect Quest"")","","","","None","((""HP"", 1))","(0)","((""HP"", 5),(""MP"", 5))","10","5.000000","","False","","False","0","None","None","None"
T_Find,"T_Find","Find","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Find_QuestName"", ""Find Test Quest"")","","","","Test2","()","","()","11","4.000000","","False","","False","0","None","None","None"
T_Kill,"T_Kill","Kill","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Kill_QuestName"", ""Kill Test Quest"")","","","","None","((""Test2"", 2))","(0)","()","12","3.000000","","False","","False","0","None","None","None"
T_Use,"T_Use","Use","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Use_QuestName"", ""Use Test Quest"")","","","","None","((""HP"", 2))","(0)","()","13","2.000000","","False","","False","0","None","None","None"
T_Delivery,"T_Delivery","Delivery","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Delivery_QuestName"", ""Delivery Test Quest"")","","","","Test2","((""HP"", 1))","(0)","()","14","1.000000","","False","","False","0","None","None","None"
T_Explore,"T_Explore","Explore","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Explore_QuestName"", ""Explore Test Quest"")","","","","None","()","","()","15","3.000000","","False","","False","0","None","None","None"
T_Talking,"T_Talking","Talking","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""T_Talking_QuestName"", ""Talking Test Quest"")","","","","Quest","()","","()","16","2.000000","","False","","False","0","None","None","None"
M_0_1,"M_0_1","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E12686D8485A486E4A5B61A31FE31E9D"", ""To Grandpa’s House"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""25E77C294D8FEA524024039BE0333F9D"", ""Grandpa\'s farm looks quite large. Let\'s take a look inside the house too.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""ED60B5AC44E3637B1CB5108F57EB6DE7"", ""You\'ve just arrived in the Joivillage after receiving a letter and a key from your grandfather.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""2DE6F4BB486DCC033049CE9F0A82D7BB"", ""Make your way north from the bus stop and find his old house.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E12F3E524EEB8FE41386C0BD0E448A5F"", ""The house is quiet, with only a single bed inside.""))","Visit Grandpa's House","()","","()","0","10.000000","","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_1/M_0_1_Complete_BP.M_0_1_Complete_BP_C","None"
M_0_2,"M_0_2","Explore","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""M_2_QuestName"", ""The House Left Behind"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6941E18A4E2CF00A2818D4BC8FDD2D5B"", ""The house looks like it’s been untouched for a while.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""684309984862D0B693A35386E72DE184"", ""The house looks like it’s been untouched for a while.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""551804EA4DE341BD0C8C34821617D8C2"", ""Use the key to unlock the door and explore the inside.""))","("""")","Check inside of the house.","()","","()","0","10.000000","","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_0/Q_2/M_0_2_Complete_BP.M_0_2_Complete_BP_C","None"
M_0_3,"M_0_3","Talking","NSLOCTEXT(""Quest_DT [BF666F4AC71A560A9578684015AB52F4]"", ""M_3_QuestName"", ""A Knock at the Door"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C752E97546120383953763BF6815E4CC"", ""Just as I was getting settled, someone came knocking at the door.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A06AE7C04EEA740880F2D6851C68BB24"", ""Just as I was getting settled, someone came knocking at the door.""))","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""72A82E6D49B3302D602F45A4774CB758"", ""It turns out to be Leon, the village mayor.Introduce yourself and see what he has to say.""))","Leon","()","","()","0","10.000000","","False","","False","0","None","None","None"
