NPC_Name,Hair_Color,Hair_Style,Outfit,Features,Physique
Leon,Brown,Neat combover,Navy military uniform with gold epaulettes,Wears glasses,Very muscular/bulky
Darius,Black,Short/Rugged,Black and white striped shirt with brown apron,Wears work boots,Extremely muscular/Sturdy
Aiden,Brown,Short/Spiky,Firefighter jacket over red tank top,Holds firefighter helmet,Very muscular
Alex,Black,Short/Spiky,White lab coat with blue shirt,Stethoscope around neck,Very muscular/Defined
Blake,Blonde,Short/Rugged,Black apron over bare muscular chest,Muscular/Sturdy,Muscular/Sturdy
Chrons,Silver,Short/Neat,Dark brown adventurer coat over grey pants,Wears glasses / holds notebook,Lean/Old but sturdy
Dan,Purple/Dark Blue,Short,White suit with purple accents,Intimidating presence,Muscular/Sturdy
Daniel,Brown,Short,Black vest over bare muscular chest / black shorts,Holds a blue beach ball,Tan/Muscular
Erik,Blonde,Short,White/Blue sailor outfit and hat,Bodybuilder physique,Very muscular/Bulky
Fergus,Black,Short/Rugged,Leather apron over sturdy worker clothes,Holds carpenter tools,Muscular/Sturdy
Jade,Black,Military cut,Olive drab tank top and tactical vest,Camouflage pants and combat knife,Very fit/Athletic
Joey,Black,Short/Spiky,Black tactical/skin-tight suit with blue accents,Carries a tech weapon/tool,Very muscular/Defined
Jun,Black,Short,White medical lab coat over professional attire,Holds a clipboard,Muscular/Sturdy
Kai,Black,Short/Faded sides,Blue police uniform with black tie,Holds handcuffs,Very muscular/Defined
Michael,Black,Short/Neat,White pilot shirt with epaulettes and black tie,Holds sunglasses,Very muscular/Defined
Nick,Reddish-Brown,Short/Rugged,White shirt with black vest and bow tie,Bartender style,Very muscular/Bulky
Raymore,Brown,Short/Messy,Blue denim overalls over bare chest,Holds a large pickaxe,Muscular/Sturdy
Rio,Black,Short/Neat,White shirt with sleeves rolled up / black pants,Wears glasses / Professional,Very muscular/Defined
Samuel,Blonde,Short/Styled,Polka dot shirt and brown apron,Holds a whip or cane,Very muscular/Defined
Sean,Silver/White,Refined/Short,Elegant white/gold suit and coat,Holds sun-patterned black book,Lean/Sophisticated
Sebastian,Blonde,Long ponytail,Blue plaid shirt and jeans,Carries buckets on a pole,Very muscular/Rancher
Vincent,Black,Short/Neat,Blue police uniform with black tie,Wears glasses,Very muscular/Defined
Angela,Blonde,Tied up/Bun,White shirt with black apron,Wears glasses / pouring coffee,Slender/Professional
Aria,Black,Long/Wavy,Blue female police uniform with black tie,Holds a walkie-talkie / handcuffs,Slender/Fit
Bella,Dark Blue,Long/Wavy,White tank top and cream long cardigan,Holds an acoustic guitar,Slender/Graceful
Camila,Orange,High bun,Orange explorer jacket and shorts,Wears glasses / holds a book,Slender/Academic
Casandra,Purple,Long/Wavy,White off-shoulder shirt and black corset,Holds a grenade or bomb,Slender/Indomitable
Celine,Dark/Black,High ponytail,Black tank top with cross icon / black shorts,Tan skin / carries medical bag,Athletic/Fit
Emily,Black,Long/Neat,White shirt with black vest and bow tie,Waitress style,Slender/Professional
Erica,Dark Brown,Long/Loose,Black tank top and brown jacket / black shorts,Holds a fishing rod,Slender/Athletic
Fiona,Bright Blue,High ponytail,White shirt with blue overalls,Wears tool belt / holds hammer,Muscular/Athletic
Halen,Brown,Long/Wavy,Black business suit (jacket and skirt),Holds a tablet/e-book device,Professional/Sleek
Iris,Brown,Long/Neat,White blouse with blue bow and plaid skirt,Wears glasses / holds a book,Slender/Academic
Ivy,Black,Long braid,White shirt and blue denim overalls,Holds a flower basket / wears glasses,Slender/Natural
Jenny,Brown,High ponytail,White button-up shirt and blue jeans,Wears glasses / holds a pen,Slender/Professional
Jocelyn,Orange,Long/Wavy,Business vest over white shirt and pinstripe pants,Holds a pointer/pen,Slender/Elite
Kelly,Black,High ponytail,Orange tactical jumpsuit,Quiver on back / Archer style,Muscular/Athletic
Kiri,Brown,High bun,White explorer shirt and green cargo pants,Holds a parrot,Slender/Active
Lilis,Light Blue,Short/Bob under hat,Blue investigator suit and hat,Holds a magnifying glass,Slender/Detective
Mia,Bright Blue,Long wavy,White off-shoulder shirt with blue overalls,Holds palette and brush,Slender/Graceful
Nora,Black,Short,White chef coat and hat with red accent,Holds a frying pan / saluting,Cheerful/Chef style
Riena,Black,Short/Tied,Black exploration gear with red accents,Holds a dagger / adventurous,Fit/Athletic
Syra,Orange,Long ponytail,White medical dress/coat,Wears stethoscope / holds clipboard,Slender/Professional
Vivian,Bright Red,Long/Wavy,Red crop top and firefighter gear,Holds a walkie-talkie,Fit/Athletic
