id,date,title,detail,status,progress_text
1,2026. 03,기본 시스템 구현,"캐릭터 이동, 인벤토리 구조, 기초 맵 디자인 및 상호작용 시스템 등 코어 시스템 구축.",completed,완료
2,2026. 04,비주얼 고도화 및 튜토리얼,"남성 캐릭터 모델링 개선, 메인 마을 시네마틱 컷신 추가, 플레이어 커스터마이징 확장. 레온 튜토리얼 퀘스트 및 퀘스트 다이얼로그 시스템 구축 완료.",completed,완료
3,2026. 05,최우선 기반 및 뷰티 개선,"[시급] 깃허브 로컬 파일 정리, 아이템 이미지(벡터) 일관성. [매우중요] 시네마틱 카메라 연출, 스태미나 패시브 연동. [진행중] 머리카락/얼굴(눈,코,입) 개선, 음식 아이템 메시 교체, 게임 페이지 제작.",in-progress,진행 중
4,2026. 06 (예상),주요 콘텐츠 및 이펙트 추가,"[중요] 별자리 효과 추가, 장비 아이템 확장, 호감도 상세화. 스킬 효과음/전투 패시브 연동 수정, 건물 위 삽질 방지, 보이드 포탈 효과 및 맵 배경음악 추가.",planned,예정
5,2026. 07 (예상),시각 고도화 및 얼리 액세스,"UI 개편, 작물 단계별 모델링 등 리소스 다량 소모 작업 검토. 스팀 얼리 액세스 대비 최적화 및 밸런스 조정.",planned,예정
6,2026 하반기 이후,확장 아이디어 기획 및 부가 기능,"레이싱 맵 및 자동차, 카페 알바, 도서관 설정집 등 신규 콘텐츠. 빠른 이동/펫 스킬, 보이드 차원이동 등 아이디어 스킬 추가. 퀘스트 번역 세분화 및 보이스 검토.",planned,기획 및 보류
7,2026.07,UI hover color & sound,Update UI hover colors and add sound effects to buttons.,planned,
8,2026.07,Dialogue font size,Increase dialogue text size for readability.,planned,
9,2026.07,Item border pending,Add pending visual indicator to item borders.,planned,
10,2026.07,Phone UI update,Implement UI updates for phone functionality.,planned,
11,2026.07,NPC key button hover scale,Add hover scale effect to NPC key part buttons and shorten length.,planned,
12,2026.07,NPC dialogue keyword size,Increase size of NPC dialogue keywords and fix odd wording.,planned,
13,2026.07,Scarecrow recipe change,Modify scarecrow crafting recipe.,planned,
14,2026.07,Map button overlay,Replace map button with overlay UI.,planned,
15,2026.07,Chapter start text size,Reduce font size of chapter start details.,planned,
16,2026.07,Stat passive points display,Show remaining passive points at top of passive panel.,planned,
17,2026.07,NPC dialogue detail padding,Add extra padding to NPC dialogue detail upper area.,planned,
18,2026.07,NPC quest title hover,Remove hover effect for NPC quest titles.,planned,
19,2026.07,Skill level up button activation,Enable level-up button after 100 EXP in skill detail row.,planned,
20,2026.07,Mining reconnect bug,Fix bug where mining reconnect after exit fails.,planned,
21,2026.07,Reincarnation interaction bug,Resolve bug where interacting during reincarnation triggers duplicate UI.,planned,
22,2026.07,Element combo & weapon gem systems,Add element combination and weapon gem systems (future).,planned,
23,2026.07,Weekly quest monster random,Make weekly quest monsters spawn randomly.,planned,
24,2026.07,Character modeling refinement,Further improve character models.,planned,
25,2026.07,Translation honorific handling,Separate Korean honorific and informal speech handling.,planned,
26,2026.07,UI button shake effect,Add slight shake animation to all UI buttons on click.,planned,
27,2026.07,Voice implementation,Implement voice features.,planned,
28,2026.07,Fast travel addition,Re-add fast travel functionality.,planned,
29,2026.07,Pet skill addition,Add new pet skills.,planned,
30,2026.07,Racing map expansion,Add three new racing maps.,planned,
31,2026.07,Additional cars,Add more cars to racing.,planned,
32,2026.07,Cafe job content,Create cafe job content.,planned,
33,2026.07,Library books,Add real books to library.,planned,
34,2026.07,Void direct move skill,Add skill to move directly via void.,planned,
35,2026.07,Speed attribute skill,Add speed attribute skill.,planned,
36,2026.07,Dragon skill,Add dragon-themed skill.,planned,
37,2026.07,Alchemy skill,Add alchemy skill.,planned,
38,2026.07,Wizard skill,Add wizard skill.,planned,
39,2026.07,Hunter skill,Add hunter skill.,planned,
40,2026.07,Gunner skill,Add gunner skill.,planned,
41,2026.07,Fighter skill,Add fighter skill.,planned,
42,2026.07,Musician skill,Add musician skill.,planned,
43,2026.07,Life passive addition,Add life-related passive abilities.,planned,
44,2026.07,Terminal code expansion,Add more terminal commands.,planned,
45,2026.07,Homepage novel completion,Complete novel book content on homepage.,planned,
46,2026.07,2D map transition bug,Fix bug where map movement after 2D transition is incorrect.,planned,
47,2026.07,Game creation date & elapsed time,Display game creation date and elapsed time.,planned,
48,2026.07,Map check,Implement map verification routine.,planned,
49,2026.07,Relative evaluation skill,Create skill that scales exp, hp, atk, def with level and also increases exp.,planned,
